Date	Time	120mWS	120mSD	90mWS	90mSD	60mWS	60mSD	30mWS	30mSD	10mWS	10mSD	120mDIr	90mDIR	60mDIR	120mTemp10mTempPress
120113	0620	1.20	0.71	0.86	0.45	0.32	0.00	0.45	0.43	0.29	0.00	8.00	55.00	0.00	24.08	23.83	1.00
120113	0630	2.09	0.40	0.98	0.31	0.32	0.00	0.30	0.00	0.29	0.00	333.00	342.00	0.00	24.20	23.83	1.00
120113	0640	1.85	0.48	1.05	0.00	0.32	0.00	0.30	0.00	0.29	0.00	332.00	333.00	0.00	24.44	23.96	1.00
120113	0650	1.10	0.37	1.05	0.00	0.32	0.00	0.30	0.00	0.29	0.00	330.00	333.00	0.00	24.44	23.83	1.00
120113	0700	1.47	0.71	1.06	0.10	0.32	0.00	0.30	0.00	0.29	0.00	326.00	330.00	0.00	24.57	24.08	1.00
120113	0710	2.36	0.44	1.83	0.48	0.79	0.65	0.30	0.10	0.29	0.00	338.00	325.00	0.00	24.44	23.96	1.00
120113	0720	2.22	0.58	1.95	0.81	1.10	0.64	0.33	0.23	0.29	0.00	350.00	347.00	0.00	24.57	24.20	1.00
120113	0730	2.11	0.57	1.95	0.73	1.16	0.75	0.47	0.50	0.29	0.00	352.00	356.00	0.00	24.57	24.32	1.00
120113	0740	2.50	0.63	2.17	0.87	1.53	0.50	1.06	0.58	0.32	0.23	352.00	356.00	0.00	24.81	24.57	1.00
120113	0750	3.21	1.00	2.49	1.01	1.89	0.84	1.70	0.41	0.80	0.66	3.00	8.00	0.00	24.93	24.69	1.00
120113	0800	3.56	1.03	2.80	0.97	2.41	0.79	2.39	0.61	2.01	0.58	8.00	15.00	0.00	25.05	24.81	1.00
120113	0810	5.07	0.80	4.65	1.02	3.72	1.07	3.30	0.91	2.64	0.83	13.00	21.00	0.00	25.18	25.05	1.00
120113	0820	4.82	1.01	4.16	1.23	3.32	1.19	3.07	0.87	2.54	0.80	11.00	20.00	0.00	25.30	25.05	1.00
120113	0830	5.55	0.99	4.67	1.19	3.71	1.05	3.65	1.00	2.99	0.86	13.00	21.00	0.00	25.30	25.18	1.00
120113	0840	5.69	0.80	5.33	0.90	4.55	0.88	4.25	0.86	3.40	1.04	14.00	25.00	0.00	25.30	25.18	1.00
120113	0850	5.44	0.53	5.22	0.57	4.91	0.62	4.68	0.70	3.79	0.83	20.00	30.00	0.00	25.54	25.42	1.00
